"claim_id","candidate_statement","type","evidence","strength","permitted_use","do_not_infer"
"C01","The literature does not provide a turnkey pipeline combining full KMT, BQS closure, ordered charged K/pi BU, strict PV phase and Omega_M feedback.","synthesis","S03-S24; search_log Q01-Q10","B","roadmap and scope statement","do not call this an exhaustive census of every paper"
"C02","A phase-shift calculation is incomplete without branch and endpoint conditions.","method","S02;S05;S06;S08","A","formula-route gate","do not identify unwrap implementation with a unique literature algorithm"
"C03","BW-only broadening misses a continuum contribution required by Levinson/Mott closure.","mechanism","S05;S06;S08","A","justify standard BU stage","do not require BW, BU and GBU numerical equality"
"C04","The strict eta->0 real-axis object should use PV real part plus analytic cut, while finite eta is a regulator/probe.","method","S03;S05;S06;S16","B","numerical design and test plan","do not claim current B0_retarded is the exact limit"
"C05","K+ and K- require ordered unequal-mass bubbles; K+ may show an anomalous low-energy mode.","method","S07;S08;S10;S23","A","charged backend design","do not silently remove anomalous mode"
"C06","K03/K38 directly affect neutral 0/3/8 mixing; charged K/pi effects are indirect unless the background or kernel is changed.","model mapping","S04;S12;S15","A","scope charged production route","do not claim zero indirect effect for arbitrary strong isospin asymmetry"
"C07","mu_s=0.2 or 0.55 times a light chemical potential is a phenomenological scenario, not a BQS equilibrium identity.","constraint","S09;S10;S11;S12;S13","A","interpretation of historical cases","do not use it as the project closure without declaration"
"C08","Explicit mu_I and rho_Q/rho_B constraints are distinct inputs; normalization must be recorded.","constraint","S12;S13;S14;S21","A","API and provenance documentation","do not map mu_I to rho_Q/rho_B by name alone"
"C09","GBU delta-sin(2delta)/2 is tied to a Phi-derivable/double-counting derivation.","method","S06;S16;S24","B","keep GBU as separately labelled algorithm","do not apply it as an empirical sign fix"
"C10","Full Omega_M feedback is a separate self-consistent task requiring derivatives, cutoffs and Ward/double-counting audits.","scope","S17;S18;S19;S20;S24","A","keep partial feedback diagnostic","do not call outer charge correction full equilibrium"
"C11","NA49 provides a horn-like K+/pi+ trend and high-energy flattening useful for scale/trend sanity checks.","experiment","S22","A","qualitative comparison","do not fit model thermodynamic densities directly to acceptance-specific yields"
"C12","In the DMB convention, the on-shell S-matrix trace gives d(delta)/pi for S=exp(2 i delta); d(phase)/(2 pi) is the equivalent form only when phase=arg(S).","method","S02","A","measure and phase-normalization audit","do not infer the normalization of -arg(Delta^R) without an explicit propagator-to-S-matrix mapping"
"C13","DMB treats B, third isospin and strangeness as independently constrained conserved charges, but does not determine the PNJL BQS closure or a phenomenological mu_s ratio.","constraint","S02","A","charge-bookkeeping rationale","do not use S02 as a derivation of rho_Q/rho_B or mu_s=0.55 mu_u"
"C14","The relativistic Levinson extension used by DMB is a motivated extrapolation and must be treated as conditional in a PNJL production gate.","limitation","S02","A","gate wording and evidence calibration","do not call the relativistic extension an unconditional first-principles theorem"
"C12","Current strict branch is not production-ready while bound-state, endpoint, Mott, node and truncation gates fail.","project status","local ChargedPhaseBackend diagnostics and active task","A","retain exploratory status","do not promote positive finite density rows without all gates"
