gate_id,category,external_locator,external_commit,external_file_sha256,julia_entrypoint,status,evidence,notes
source_identity,provenance,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,,docs/analysis/historical/legacy/legacy_extraction_v1/magnetic_reference_route_audit_v3.md,pass,"D:\Temp\pnjl_mag_audit_20260823 is a clean clone at the fixed commit","No numeric target is admitted by this row."
formula_family,physics,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,C2152237D120C499E910FD8413CC6F525D524F7212E382E2C599F702E9338E56,src/models/pnjl_physics/core/MagneticThermodynamics.jl,pass,"src/pnjl_mag.py; src/gap.py; src/magnetic_jet.py","Static inspection finds zero-field cutoff vacuum plus Hurwitz-zeta MFIR correction plus Landau thermal term in both routes."
parameter_profile,physics,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,6CE74C38D8DEA3B04BDDDA153252DB84D8F5F6801755CDE10A8A5D9012B06720,config/models/pnjl/magnetic_default.toml,pass,"src/constants.py; config/physics/default.toml; config/models/pnjl/default.toml","Lambda, G, K, current masses, Polyakov parameters, and IMC a=0.0108805 profile match the declared snapshot."
state_layout,interface,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,724CEFEC5C04C1A17AD13BCA5EA7B7AA3647E9FBF250B9C06B6F1BB207FB970E,src/models/pnjl_physics/PNJLMagneticModel.jl,pass,"src/gap.py orders=[phi_u,phi_d,phi_s,Phi,Phi_bar]","Both routes expose a five-variable FixedMu stationarity state."
chemical_potential_semantics,interface,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,,src/models/pnjl_physics/PNJLMagneticModel.jl,adapter_required,"src/pnjl_mag.py divides muB by 3; Julia accepts a flavor mu_vec","A matched target must state whether the external scalar is baryon chemical potential or common quark chemical potential."
unit_contract,interface,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,6CE74C38D8DEA3B04BDDDA153252DB84D8F5F6801755CDE10A8A5D9012B06720,src/models/pnjl_physics/core/MagneticThermodynamics.jl,conditional,"External PNJL uses fm^-1/fm^-2 and Julia converts MeV/MeV^2 at the public boundary","External hc=197.33 while Julia hbarc=197.3269804; numeric acceptance needs one pinned conversion convention."
field_domain,interface,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,,src/models/pnjl_physics/core/MagneticThermodynamics.jl,mismatch,"External Omega accepts eB=0 and applies abs(eB); Julia production rejects eB<100 MeV^2","Zero and negative eB are outside the current Julia magnetic production contract."
quadrature_and_cutoff,convergence,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,E5EAB7C1C369CDDA049CB1B8640903CA67DA63B394963D7FB184BFE636BFFE39,src/models/pnjl_physics/core/MagneticThermodynamics.jl,pending,"External defaults p_num=128,n_num=80,zeta_num=256; Julia defaults p_num=96,zeta_num=64 and adaptive thermal n_max","A target requires independent p_z, Landau-level, and zeta convergence records."
solver_and_branch,solver,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,724CEFEC5C04C1A17AD13BCA5EA7B7AA3647E9FBF250B9C06B6F1BB207FB970E,src/models/pnjl_physics/MagneticGapSolver.jl,mismatch,"External Optimistix Newton uses one seed and temperature continuation; Julia NLsolve uses multiseed branch-aware candidates","Residual-pass local roots are not global-minimum or all-branch equivalence."
output_schema,acceptance,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,,src/models/pnjl_physics/MagneticGapSolver.jl,diagnostic_adapter_available,"The local replay extracts state, residual, Omega, source hashes, and continuation settings into a machine-readable diagnostic artifact","Julia selected/candidate branch metadata still requires a cross-solver adapter before target admission."
equilibrium_replay,numerics,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,D36916FAF8BF7BCD4E262A76074B4010010F4716C5EB1A9732EDDB2A51A5F440,docs/analysis/historical/legacy/legacy_extraction_v1/pnjl_mag_equilibrium_replay_v1/manifest.json,diagnostic_replay_passed,"Current-machine replay follows T=300..50 MeV step -1 at eB=0.2,0.4,0.8 GeV^2; nine extracted states exactly match committed CSV and max residual is 1.65e-13","One-seed continuation only; no Julia parity, all-branch equivalence, or independent quadrature convergence."
cross_solver_replay,numerics,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,AAFD92E27823781C396137CBFEBDAC0E0C5DB66FB11DD349AA964EB508D692D9,docs/analysis/historical/legacy/legacy_extraction_v1/pnjl_mag_cross_solver_replay_v1/manifest.json,diagnostic_cross_solver_passed,"Nine Julia multi-seed screening points plus three matched-node T=240 MeV points; matched Omega delta is below 1.2e-12 and one high-field point exposes a second candidate","Diagnostic only; no all-branch completeness, convergence matrix, formal output schema, or equilibrium target admission."
convergence_matrix,numerics,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,D6AF1F27F5867FE04F09F51F3921D902D67B7DF0A569E834109F69D38254CACB,docs/analysis/historical/legacy/legacy_extraction_v1/pnjl_mag_convergence_v1/manifest.json,production_blocker_found,"Three anchors now cover n_max=31..511, separated p_num/pz/zeta probes, n_max=79/383 re-solves, seed-order repeatability, current-default auto-nmax probes, and a temperature-aware k-factor candidate diagnostic in separate source/production CSVs","Low-field high-temperature convergence needs about n_max=383 while current production auto-nmax resolves to 3/4 and is seed-local; k=30 candidate is locally close to n_max=511 but is not a global acceptance contract."
numeric_target,numerics,https://github.com/ZhouRui-xzit/pnjl_mag,e1fc81d3c3c9d220c49972e54307b66a604cb9db,,tests/validation/data/targets/pnjl/reference/pnjl_magnetic_external_kernel_targets_v1.csv,kernel_target_admitted,"One fixed-state Omega oracle is admitted as kernel-only; external Python test and data hashes are recorded","Equilibrium branch, solver, and full scan acceptance remain pending."
